myPosition,raisePosition,reraisePosition,callPosition,hands,color
"SB","BTN",,,"AA,AKs,AQs,AJs,ATs,A5s,AKo,AJo,KK,KQs,KJs,KTs,QQ,QJs,QTs,JJ,JTs,T9s",red
"SB","BTN",,,"A7s,A4s,A3s,K9s,K7s,AQo,KQo,KJo,J9s,J8s,TT,T8s,99,98s,88,87s,77,76s,66,65s",yellow
"SB","BTN",,,"A9s,A8s,A6s,A2s,K8s,ATo,QJo,Q9s,55,44,33,22",green



"BB","UTG",,,"AA,AKs,KK,KQs,QQ,QJs,",red
"BB","UTG",,,"AQs,ATs,A5s,A4s,AKo,KJs,JTs,87s,76s,65s,54s",yellow
"BB","UTG",,,"AJs,A9s,A8s,A7s,A6s,A3s,A2s,KTs,K9s,K8s,K7s,K6s,K5s,K4s,K3s,K2s,AQo,KQo,QTs,Q9s,Q8s,Q7s,Q6s,Q5s,Q4s,AJo,KJo,KTo,QTo,QJo,JTo,JJ,J9s,J8s,J7s,ATo,TT,T9s,T8s,T7s,99,98s,97s,96s,88,86s,85s,77,75s,66,64s,55,53s,52s,44,43s,33,22",green

"BB","HJ",,,"AA,AKs,AQs,A5s,AKo,KK,KQs,QQ,QJs,QTs,",red
"BB","HJ",,,"KJs,KTs,JJ,JTs,T9s,87s,76s,65s",yellow
"BB","HJ",,,"AJs,ATs,A9s,A8s,A7s,A6s,A4s,A3s,A2s,K9s,K8s,K7s,K6s,K5s,K4s,K3s,K2s,AQo,KQo,KTo,QTo,JTo,QJo,Q9s,Q8s,Q7s,Q6s,Q5s,Q4s,Q3s,AJo,A9o,A5o,KJo,J9s,J8s,J7s,ATo,TT,T8s,T7s,T6s,99,98s,97s,96s,95s,88,86s,85s,77,75s,66,64s,55,54s,53s,52s,44,43s,42s,33,22",green

"BB","CO",,,"AA,AKs,AQs,AKo,KK,QQ,QJs,JJ,JTs,J9s,T9s,",red
"BB","CO",,,"A5s,KQs,KJs,K9s,QTs,87s,76s,65s",yellow
"BB","CO",,,"AJs,ATs,A9s,A8s,A7s,A6s,A4s,A3s,A2s,KTs,K8s,K7s,K6s,K5s,K4s,K3s,K2s,AQo,KQo,QJo,Q9s,Q8s,Q7s,Q6s,Q5s,Q4s,Q3s,Q2s,AJo,J8s,J7s,J6s,J5s,J4s,J3s,ATo,KJo,KTo,QTo,JTo,TT,T8s,T7s,T6s,A9o,K9o,T9o,99,98s,98o,87o,97s,96s,95s,A8o,88,86s,85s,77,75s,74s,66,64s,63s,A5o,55,54s,53s,52s,44,43s,42s,33,22",green

"BB","BTN",,,"AA,AKs,AQs,AJs,A5s,AKo,KK,KQs,AQo,QQ,JJ,JTs,J9s,TT,T9s,99",red
"BB","BTN",,,"ATs,A4s,KQo,KJs,KTs,K6s,QJs,QTs,Q8s,Q6s,Q5s,AJo,KJo,J7s,KTo,QTo,T8s,T7s,T6s,98s,88,87s,A7o,76s,65s,54s",yellow
